type,id,name,disposition,period,duration,depth,prad,teq
koi,6191521,K00847.01,1,80.872346900,11.19500,3604.6,7.59,452.0
koi,6267425,K00848.01,0,3.166465862,2.93810,4357.2,26.82,954.0
koi,3531558,K00118.01,1,24.993243190,5.94090,269.6,2.29,712.0
koi,6276477,K00849.01,1,10.355331160,3.17750,750.6,2.47,777.0
koi,6863998,K00867.01,1,16.085189370,3.98400,1442.4,3.68,613.0
koi,6867155,K00868.01,1,235.998639900,8.22840,20715.0,10.59,188.0
koi,6948054,K00869.01,1,7.490183050,2.72970,1123.6,2.56,753.0
koi,6948054,K00869.02,1,36.276123800,4.78650,1572.6,3.03,445.0
koi,6948054,K00869.03,1,17.460879310,2.26410,812.4,2.32,568.0
koi,6435936,K00854.01,1,56.056075400,4.68500,1626.0,1.94,233.0
koi,6522242,K00855.01,1,41.408316686,5.02640,22839.0,11.38,453.0
koi,6526710,K00856.01,1,39.748930770,7.30510,15179.0,14.21,552.0
koi,6587280,K00857.01,1,5.715425977,2.52420,908.1,2.47,850.0
koi,9471974,K00119.01,1,49.183941850,11.33640,1646.2,8.20,669.0
koi,6587280,K00857.02,1,20.026141200,1.61100,421.2,2.28,559.0
koi,6599919,K00858.01,1,13.610148190,2.59400,5732.9,19.02,733.0
koi,6675056,K00859.01,0,10.443319910,2.74300,1159.8,2.66,667.0
koi,6685526,K00861.01,1,2.237489571,1.81190,315.8,1.41,1160.0
koi,6756669,K00862.01,0,5.851520671,3.11058,33004.0,14.62,901.0
koi,6784235,K00863.01,1,3.167893418,2.18140,781.2,2.62,1221.0
koi,6849310,K00864.01,1,4.311780262,2.72510,1154.0,3.11,1038.0
koi,6849310,K00864.02,1,20.050449400,4.55600,840.9,2.69,622.0
koi,6849310,K00864.03,1,9.767345030,1.65850,569.1,2.67,791.0
koi,6862328,K00865.01,1,119.020704400,8.14050,7430.5,8.98,366.0
koi,9471974,K00119.02,1,190.320046800,15.28400,1141.7,7.78,426.0
koi,6862603,K00866.01,0,2.861159894,1.88320,1014.3,4.37,1355.0
koi,7366258,K00880.01,1,26.444393370,3.97830,1843.5,3.91,562.0
koi,7366258,K00880.02,1,51.539979720,6.39940,3644.3,5.51,450.0
koi,7366258,K00880.03,1,5.902245782,2.90030,702.3,2.43,926.0
koi,7366258,K00880.04,1,2.382951591,1.88760,391.6,1.86,1253.0
koi,7373451,K00881.01,1,21.022506080,4.10720,1772.5,3.07,521.0
koi,6948054,K00869.04,1,3.219814777,2.06420,488.2,1.69,998.0
koi,6949607,K00870.01,1,5.912273234,2.32540,961.4,1.73,585.0
koi,6949607,K00870.02,1,8.985819010,2.86060,881.3,1.65,509.0
koi,7031517,K00871.01,1,12.940668656,2.48450,42450.0,22.94,723.0
koi,11869052,K00120.01,0,20.545237500,2.51700,218.5,2.41,742.0
koi,7109675,K00872.01,1,33.601233710,4.40560,7425.9,8.46,495.0
koi,7109675,K00872.02,1,6.766529280,2.90040,450.7,1.97,845.0
koi,7118364,K00873.01,1,4.347288783,2.10240,451.6,2.36,1174.0
koi,7134976,K00874.01,1,4.601811819,2.26070,755.9,2.35,896.0
koi,7134976,K00874.02,1,11.187199050,3.25200,353.6,1.55,667.0
koi,7135852,K00875.01,1,4.220965778,3.08540,2260.0,2.62,595.0
koi,7270230,K00876.01,0,6.998099523,2.04880,20285.0,588.66,853.0
koi,7287995,K00877.01,1,5.954899930,2.38920,1410.7,2.33,635.0
koi,7287995,K00877.02,1,12.039874880,2.73630,1250.6,2.18,502.0
koi,7287995,K00877.03,1,20.837628950,2.37340,439.0,1.42,418.0
koi,3247396,K00121.01,0,8.811102200,5.06830,401.1,63.66,1399.0
koi,7303253,K00878.01,1,23.589171430,5.07300,1200.7,3.16,487.0
koi,5094751,K00123.01,1,6.481633073,3.78400,298.5,2.54,1145.0
koi,7678434,K00892.01,1,10.371689280,3.03500,1254.9,3.20,720.0
koi,7678434,K00892.02,1,3.969962980,1.17570,299.2,1.78,992.0
koi,7685981,K00893.01,1,4.408413310,5.01200,549.4,2.66,1139.0
koi,7708215,K00894.01,0,7.942617600,6.70300,1590.7,4.68,878.0
koi,7373451,K00881.02,1,226.890477500,7.55800,3136.4,4.53,236.0
koi,7377033,K00882.01,0,1.956811408,2.19580,24905.0,21.58,1109.0
koi,7380537,K00883.01,1,2.688899233,2.11275,37492.0,12.04,929.0
koi,7434875,K00884.01,1,9.439459486,2.89790,3036.1,4.16,686.0
koi,8349582,K00122.01,1,11.523067458,3.87570,507.3,3.13,927.0
koi,7434875,K00884.02,1,20.477488430,2.83640,1382.4,2.92,530.0
koi,7434875,K00884.03,1,3.336123113,1.96160,516.3,1.74,970.0
koi,7455287,K00886.01,1,8.010784560,2.31200,1333.6,1.72,453.0
koi,7455287,K00886.02,1,12.071342050,4.32240,759.2,1.29,395.0
koi,7455287,K00886.03,1,20.995878720,2.63330,767.3,1.30,328.0
koi,7458762,K00887.01,1,7.411131770,2.52420,620.5,2.45,905.0
koi,7552344,K00888.01,0,1.000747038,0.99670,1823.5,4.14,1620.0
koi,757450,K00889.01,1,8.884922995,2.07004,16053.0,10.51,770.0
koi,7585481,K00890.01,1,8.098889060,4.20241,6911.1,8.95,986.0
koi,7663691,K00891.01,1,10.006530120,5.34400,936.1,3.52,876.0
koi,5812701,K00012.01,1,17.855221681,7.41287,9065.2,13.16,911.0
koi,8013419,K00901.01,1,12.732624065,2.20830,6465.7,4.87,432.0
koi,8018547,K00902.01,1,83.924940320,6.79040,7958.7,4.78,226.0
koi,8039892,K00903.01,1,5.007316661,4.23620,6932.3,6.96,998.0
koi,8150320,K00904.01,1,2.211116989,1.64850,724.2,1.85,931.0
koi,8150320,K00904.02,1,27.954133700,3.95000,942.5,1.90,400.0
koi,11086270,K00124.01,1,12.691043870,3.77270,252.1,2.57,1008.0
koi,7767559,K00895.01,0,4.409409243,3.86360,12861.0,10.95,1101.0
koi,7825899,K00896.01,1,16.239470960,4.03740,2590.7,4.14,598.0
koi,7825899,K00896.02,1,6.308201629,2.97850,1328.5,2.96,819.0
koi,7849854,K00897.01,1,2.052349884,2.07780,14281.0,13.12,1497.0
koi,7870390,K00898.01,1,9.770448600,2.45170,1897.8,2.23,460.0
koi,7870390,K00898.02,1,5.169804269,2.15300,1037.4,1.66,569.0
koi,5094751,K00123.02,1,21.222611950,6.50930,366.0,2.48,771.0
koi,7870390,K00898.03,1,20.090170370,4.15400,1432.1,2.25,362.0
koi,7907423,K00899.01,1,7.113732570,2.17640,807.6,1.16,429.0
koi,7907423,K00899.02,1,3.306551643,1.81770,509.2,0.91,554.0
koi,7907423,K00899.03,1,15.368457370,2.47140,756.1,1.11,332.0
koi,7938496,K00900.01,1,13.810203180,3.04800,1309.7,4.56,833.0
koi,8490993,K00911.01,1,4.093578461,2.58330,538.6,2.85,1182.0
koi,8490993,K00911.02,1,105.145959000,8.59300,685.4,3.43,401.0
koi,8505670,K00912.01,1,10.848451800,2.99930,1675.6,2.34,499.0
koi,8505670,K00912.02,1,6.668332410,1.91500,362.3,1.18,587.0
koi,8544996,K00913.01,1,4.082274889,3.23015,17859.0,10.55,1016.0
koi,8552202,K00914.01,1,3.886655224,3.16460,581.6,1.87,1010.0
koi,8150320,K00904.03,1,42.140608900,5.08300,895.5,1.85,349.0
koi,8150320,K00904.04,1,4.617490562,2.26180,575.8,1.62,728.0
koi,8150320,K00904.05,1,10.198492550,2.42830,634.1,1.75,559.0
koi,8180063,K00905.01,0,5.795063956,3.24960,1692.9,4.33,950.0
koi,8226994,K00906.01,1,7.156815520,2.58820,867.0,2.47,782.0
koi,8226994,K00906.02,1,17.648308510,2.08730,763.3,2.43,579.0
koi,8226994,K00906.03,1,4.148107190,2.53500,175.2,1.08,938.0
koi,8247638,K00907.01,1,16.514109890,4.15750,973.5,2.72,655.0
koi,8247638,K00907.02,1,30.132929800,5.17200,1015.8,3.14,536.0
koi,8247638,K00907.03,1,4.790908090,2.60300,251.3,1.36,990.0
koi,11086270,K00124.02,1,31.719810130,4.81900,363.4,3.09,743.0
koi,8247638,K00907.04,1,99.641596200,4.44800,952.5,2.64,360.0
koi,8255887,K00908.01,1,4.708326451,3.16114,7912.7,10.60,1162.0
koi,8256049,K00909.01,0,16.371986610,3.84490,4147.6,540.37,438.0
koi,8414716,K00910.01,1,5.392026903,2.98040,1151.4,2.68,850.0
koi,9140402,K00928.01,1,2.494170338,1.12210,863.7,2.42,1194.0
koi,9141746,K00929.01,1,6.491682808,4.30100,7163.3,9.66,1062.0
koi,9159275,K00930.01,0,3.044770796,10.01340,1695.0,24.54,1076.0
koi,9166862,K00931.01,1,3.855603916,3.21790,16653.0,13.61,1212.0
koi,9166870,K00932.01,0,3.855599139,3.18300,1030.9,3.57,1158.0
koi,11449844,K00125.01,0,38.478766290,5.04169,23530.0,13.26,484.0
koi,8605074,K00915.01,0,37.601661282,8.30604,59130.0,27.22,606.0
koi,8628973,K00916.01,1,3.314947362,1.80070,1398.2,3.94,1155.0
koi,8655354,K00917.01,0,6.719690890,3.02310,969.7,4.37,952.0
koi,8672910,K00918.01,1,39.643155200,6.52920,15664.0,10.98,472.0
koi,8686150,K00919.01,0,51.425985780,16.94220,66068.0,29.66,549.0
koi,8689031,K00920.01,1,21.804516110,3.40970,1144.9,2.60,543.0
koi,8689373,K00921.01,1,10.281945930,3.43660,1110.7,2.53,680.0
koi,8689373,K00921.02,1,18.119930390,4.23090,1506.9,2.95,563.0
koi,8689373,K00921.03,1,3.784028670,1.90120,426.1,1.70,949.0
koi,8826878,K00922.01,1,5.154481420,3.22800,697.5,2.94,964.0
koi,5897826,K00126.01,0,33.803643660,11.48130,13494.0,20.70,745.0
koi,8883593,K00923.01,1,5.743469797,3.44120,1240.2,3.13,982.0
koi,8951215,K00924.01,1,39.475909300,2.96800,1012.6,4.06,577.0
koi,9016295,K00925.01,0,19.974485239,4.23479,40293.0,26.56,700.0
koi,9077124,K00926.01,1,3.166353562,3.31290,1473.4,3.82,1273.0
koi,9097120,K00927.01,0,23.899634407,3.81881,20953.0,44.04,652.0
koi,9466668,K00939.01,1,3.388012244,2.68490,280.1,2.11,1315.0
koi,9466668,K00939.02,1,5.839097610,3.19150,273.6,2.06,1097.0
koi,9466668,K00939.03,1,1.620467654,2.18880,159.6,1.57,1681.0
koi,9466668,K00939.04,1,10.681695100,3.60500,307.8,2.30,897.0
koi,9479273,K00940.01,1,6.104849417,4.69120,2090.3,3.18,784.0
koi,8359498,K00127.01,1,3.578780566,2.91089,11382.0,10.43,1145.0
koi,9171801,K00933.01,0,3.187067566,3.11900,1037.4,23.88,1079.0
koi,9334289,K00934.01,1,5.826657508,2.91830,1539.1,4.09,1013.0
koi,9334289,K00934.02,1,12.412163470,3.73900,611.3,2.58,787.0
koi,9334289,K00934.03,1,18.746490110,3.89500,796.8,3.05,686.0
koi,9347899,K00935.01,1,20.860212290,5.19370,1910.5,5.50,781.0
koi,9347899,K00935.02,1,42.634278480,6.19980,1719.3,5.22,615.0
koi,9347899,K00935.03,1,87.647606800,8.87100,1009.6,4.00,484.0
koi,9347899,K00935.04,1,9.617314260,3.86920,234.0,1.94,1010.0
koi,9388479,K00936.01,1,9.467821474,2.43270,2237.0,2.13,407.0
koi,9388479,K00936.02,1,0.893040969,1.09810,741.7,1.24,893.0
koi,11359879,K00128.01,1,4.942783419,3.25346,11145.0,10.62,1008.0
koi,9406990,K00937.01,1,20.834267310,4.04540,988.4,2.74,595.0
koi,9415172,K00938.01,1,9.946023570,3.38620,994.5,3.12,807.0
koi,9415172,K00938.02,1,1.045621950,1.89550,213.0,1.45,1710.0
koi,9415172,K00938.03,1,5.714623960,2.33600,297.8,1.78,971.0
koi,9904059,K00145.01,0,102.964195200,15.73500,1896.7,39.00,797.0
koi,3231341,K01102.02,1,8.145159810,5.07300,446.8,3.43,1050.0
koi,3231341,K01102.03,1,18.998527900,4.52900,430.7,43.17,792.0
koi,3231341,K01102.04,1,4.244390490,3.28200,174.0,2.07,1305.0
koi,2860866,K01103.01,1,90.124050700,11.64900,3020.3,7.12,485.0
koi,7626506,K00150.02,1,28.574269200,4.94270,824.9,2.32,538.0
koi,10460629,K01168.01,1,856.672115000,23.14400,858.1,3.87,242.0
koi,10319385,K01169.01,1,0.689210173,1.61690,195.0,1.32,1943.0
koi,10482160,K01170.01,1,7.343739640,1.17840,574.4,1.84,839.0
koi,10485069,K01171.01,0,0.445277068,3.53900,186.7,35.74,2562.0
koi,3233043,K00966.01,0,0.379463865,0.86896,1973.3,59.56,3000.0
koi,6579806,K00967.01,0,9.880479780,2.78458,18541.0,23.60,860.0
koi,3560301,K00968.01,0,4.648415600,38.19390,128.4,5.06,2259.0
koi,4044005,K00969.01,0,17.512014768,1.82480,4511.7,13.66,804.0
koi,11502218,K00970.01,1,3.988602100,1.73760,673.5,34.39,3145.0
koi,11180361,K00971.01,1,0.533059312,1.86210,1495.8,133.56,5862.0
koi,5802246,K01044.01,0,0.525154153,2.14410,747.5,23.61,2073.0
koi,6066403,K01045.01,0,1.303861044,4.05410,598.2,27.85,1610.0
koi,6209637,K01046.01,0,0.734524960,6.70000,,,
koi,5988031,K01047.01,0,2.555491760,9.08300,113.8,23.35,1312.0
koi,7684873,K00014.01,0,2.947376671,2.09110,433.2,403.59,2404.0
koi,8559644,K00139.01,1,224.778935500,11.18990,3487.5,7.67,333.0
koi,2851100,K01104.01,0,0.890110752,0.87740,321.5,1.25,1372.0
koi,3130300,K01105.01,0,5.765733960,2.92400,248.0,7.47,1964.0
koi,3240158,K01106.01,1,7.426081230,3.63790,443.3,2.47,1037.0
koi,3240158,K01106.02,1,15.986893200,4.15800,178.5,1.62,803.0
koi,3228959,K01107.01,0,0.730945890,4.32000,250.2,17.12,1922.0
koi,3218908,K01108.01,1,18.925372460,3.98350,640.9,13.92,1171.0
koi,10341913,K01172.01,0,0.933749106,4.25600,186.2,3.22,2863.0
koi,10480921,K01173.01,0,2.037440623,3.44200,118.6,1.19,1572.0
koi,10287723,K01174.01,1,129995.778400000,9.40800,1474.9,2.99,25.0
koi,10350571,K01175.01,1,31.592580900,13.56600,145.1,1.78,688.0
koi,10350571,K01175.02,1,17.157236000,11.28400,110.4,1.55,844.0
koi,3749365,K01176.01,1,1.973760850,1.82542,30222.0,8.78,753.0
koi,11013201,K00972.01,1,13.118962443,4.30450,372.2,8.25,1768.0
koi,11673674,K00133.01,0,4.618767792,5.99570,4399.1,7.48,1170.0
koi,11013201,K00972.02,1,7.821873280,3.84170,42.2,2.78,2101.0
koi,9414417,K00974.01,1,53.505761100,10.56160,195.6,2.52,675.0
koi,3632418,K00975.01,1,2.785821236,3.55990,68.9,1.69,1784.0
koi,3441784,K00976.01,0,52.569018670,6.75070,26900.0,78.54,737.0
koi,5820218,K01048.01,0,3.411758679,3.15800,570.6,14.71,684.0
koi,5876368,K01049.01,0,0.525426427,1.08010,324.6,1.45,2069.0
koi,5809890,K01050.01,1,1.269091415,1.46470,340.9,1.41,1331.0
koi,5809890,K01050.02,1,2.853133997,1.46500,277.1,1.36,1016.0
koi,6131236,K01051.01,1,6.796853530,3.17020,393.1,2.01,985.0
koi,9048161,K00146.01,0,8.667822346,4.96580,2121.9,67.37,1303.0
koi,3218908,K01108.02,1,1.475323222,2.31550,154.9,5.88,2740.0
